Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
30/08/2013,"No. 106, Upper Leeson Street",Dublin 4,Dublin,"€690,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/05/2021,"JAMESTOWN, BALLYBRITTAS, LAOIS",,Laois,"€285,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/11/2020,"92MULLAN MOR, TUAM ROAD, GALWAY",,Galway,"€260,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/08/2018,"BALLYSALLY, CHARLEVILLE, CORK",,Cork,"€185,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2011,"80 The Fairways, Seabrook Manor, Portmarnock",,Dublin,"€212,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/10/2017,"2 Riversdale, Shanaclune, Toem",,Tipperary,"€242,290.74",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
16/10/2020,"23 Clay Farm Avenue, Clay farm, Leopardstown",,Dublin,"€453,744.00",No,Yes,New Dwelling house /Apartment,
22/12/2014,"117 THE FALCON, THE SANCTUARY, JACOBS ISLAND",,Cork,"€128,239.00",No,No,Second-Hand Dwelling house /Apartment,
15/01/2016,"CHAPEL STREET, TALLOW, CO WATERFORD",,Waterford,"€18,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/07/2015,"2 Ard na Gaoithe, Carnamuggagh, Letterkenny",,Donegal,"€42,500.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
18/01/2016,"2 THE OAKS MULLINGAR, MULLINGAR, WESTMEATH",,Westmeath,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/09/2017,"DARTRY, SANDYCOVE AVENUE EAST, DUN LAOGHAIRE",,Dublin,"€1,100,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/02/2018,"APT 2 THE PIERRE, VICTORIA TERRACE, DUN LAOGHAIRE",,Dublin,"€515,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/05/2018,"GARRAVAGH, INNISCARRA, CORK",,Cork,"€234,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/07/2018,"46 ROCKSPRINGS, CLARINWOOD, TRAMORE",,Waterford,"€217,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/01/2017,"4 SYCAMORE SPRINGS, NAAS, CO. KILDARE",,Kildare,"€140,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2020,"14 RICHMOND HALL, MOUNT ST.  ANNES, MILLTOWN",Dublin 6,Dublin,"€390,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/08/2018,"CUSHINA, PORTARLINGTON, OFFALY",,Offaly,"€35,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/02/2017,"74 THE ELMS, MOUNT MERRION AVE, BLACKROCK",,Dublin,"€381,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/07/2018,"48 DEERPARK RD, MOUNT MERRION, DUBLIN",Dublin 24,Dublin,"€685,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/07/2014,"34 PERRY COURT, MALLOW ST, LIMERICK CITY",,Limerick,"€115,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/01/2019,"CLONTEEN, KILBRIDE, TRIM",,Meath,"€535,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/09/2017,"13 Broadfield Grove, Broadfield Manor, Rathcoole",,Dublin,"€319,897.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
18/12/2012,"38 Eagle Valley, Powercourt, Enniskerry",,Wicklow,"€715,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/02/2016,"53 RUEBEN ST, SOUTH CIRCULAR RD, DUBLIN 8",Dublin 8,Dublin,"€285,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/10/2014,"13 TULLYHALL WAY, LUCAN, CO DUBLIN",,Dublin,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/08/2021,"MOUNTAIN RD, BALLYKELLY, NEW ROSS",,Wexford,"€320,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/10/2017,"35 MIZEN COURT, ARKLOW MARINA VILLAGE, NORTH QUAY",,Wicklow,"€141,500.00",No,No,Second-Hand Dwelling house /Apartment,
14/12/2016,"CHERRY COTTAGE, ROCKSHIRE RD, FERRYBANK",,Kilkenny,"€95,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/03/2019,"STREETE VILLAGE, MULLINGAR, COUNTY WESTMEATH",,Westmeath,"€43,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/08/2010,"25 Oakleigh, Navan",,Meath,"€185,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/12/2020,"LARGATREANY, HORN HEAD, DUNFANAGHY",,Donegal,"€260,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/11/2020,"1 DERRYNANE RD LOWER, TURNERS CROSS, CORK CITY",,Cork,"€305,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/09/2021,"4 ELM RD, FOTA ROCK, CARRIGTWOHILL",,Cork,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/06/2018,"TUBRID BEG, ABBEYDORNEY, KERRY",,Kerry,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/02/2011,"13  Beech Drive, Greenfields, Old Tramore Road",,Waterford,"€140,969.17",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
04/12/2017,"3 CLARENCE COURT, ST LUKES, CORK",,Cork,"€277,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/05/2016,"46 GREEN VIEW, SEABROOK MANOR, PORTMARNOCK",Dublin 13,Dublin,"€290,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/01/2019,"50 GREENPARK MEADOWS, MULLINGAR, CO. WESTMEATH",,Westmeath,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/03/2020,"6 7 8 9 ST ANNES TERRACE, SHORTCOURSE, WATERFORD",,Waterford,"€40,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/05/2018,"BALLYGRENNAN, BRUFF, LIMERICK",,Limerick,"€301,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/04/2010,"2 An Maimin, Ballyferriter, Dingle",,Kerry,"€315,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/04/2017,"41 CAMDEN LOCK, RINGSEND, DUBLIN 4",Dublin 4,Dublin,"€307,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/10/2013,"ARDMORE ROAD, MULLINGAR",,Westmeath,"€208,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/05/2019,"14 MELLOWS TERRACE, NAVAN, MEATH",,Meath,"€197,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/01/2010,"168 Castle Park, Tallaght",,Dublin,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/10/2018,"5 The Green, Castle Farm, Naas",,Kildare,"€290,748.90",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
04/03/2014,"35 MARLFIELD CLOSE, KILTIPPER WAY, TALLAGHT DUBLIN 24",,Dublin,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/12/2020,"41 THE GALLERY, TURVEY WALK, DONABATE",,Dublin,"€252,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/10/2014,"APT 12, SHEERWATER HOUSE, DOMINICK ST",,Galway,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/10/2015,"98 Loughantarve, Knockbridge, Dundalk",,Louth,"€140,969.15",Yes,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
20/06/2019,"17 LINDENVALE, PROBY SQ, BLACKROCK",,Dublin,"€950,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/12/2010,"29 Monastery Drive, Clondalkin, Dublin 22",,Dublin,"€265,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/07/2013,"50 Ardan Na Mara, Seafield, Youghal",,Cork,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/01/2019,"13 DISCOVERY, ROYAL CANAL PARK, RATOATH RD DUBLIN 15",Dublin 7,Dublin,"€295,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/01/2012,"2 Gort na Ri, Athenry",,Galway,"€186,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/12/2014,"2C AN DUN, RAHEEN, CO LIMERICK",,Limerick,"€68,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/07/2020,"KILBARRY, TEMPLEMARTIN, BANDON",,Cork,"€385,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/08/2019,"36 THE WATERMILL, RAHENY, DUBLIN 5",Dublin 5,Dublin,"€430,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/04/2017,"THE COTTAGE, DAMASTOWN, NAUL",,Dublin,"€449,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/07/2019,"32 THE FAIRWAYS, ABBEYLEIX, LAOIS",,Laois,"€145,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/05/2021,"SPOLLENSTOWN, TULLAMORE, CO OFFALLY",,Offaly,"€139,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
06/09/2018,"80 Parklands, Youghal",,Cork,"€171,806.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
18/12/2014,"39 LISSADYRA, BALLYGADDY RD, TUAM",,Galway,"€111,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/07/2018,"KNOCKTOBY, TUBBER, GALWAY",,Galway,"€75,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
03/08/2016,"46 WOODTHORPE, BALLYHASKEY, NEWTOWNCUNNINGHAM",,Donegal,"€135,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/02/2016,"140 STEEPLECHASE GREEN RATHOATH, MEATH",,Meath,"€206,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/04/2019,"7 OUTRATH COURT, KILKENNY, KILKENNY",,Kilkenny,"€340,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/10/2012,"Main Street, Glaslough, Monaghan",,Monaghan,"€70,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/08/2012,"34 Castle Street, Dalkey",,Dublin,"€235,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/10/2013,"226 Pace Road, Littlepace, Clonee",Dublin 15,Dublin,"€203,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/12/2021,"CAHERHAYES, ABBEYFEALE, CO LIMERICK",,Limerick,"€169,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/04/2010,"Stephenstown South, Two Mile House, Naas",,Kildare,"€500,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/02/2012,"79 Walkinstown Drive, Walkinstown, Dublin 12",,Dublin,"€111,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/12/2019,"1  5  6 & 22 THE HAMPTON, APT 1 2 7 19 20 26 27 30 31 34-38, 41 42 47-49 BLOCK 1  THE MAIESTON",Dublin 11,Dublin,"€3,919,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/12/2010,"Dunany, Togher",,Louth,"€125,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/04/2018,"105 Barley Field, Wicklow Hills, Newtownmountkennedy",,Wicklow,"€202,642.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
21/06/2021,"8 LUDFORD RD, BALLINTEER, DUBLIN 16",Dublin 16,Dublin,"€695,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/09/2017,"2344 ST JOSEPHS PARK, PROSPEROUS, KILDARE",,Kildare,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/02/2017,"61 ASHBROOK, CASTLELAKE, CARRIGTWOHILL",,Cork,"€195,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/12/2019,"8 Deel View, The Glebe, Ballina Road",,Mayo,"€215,858.00",No,Yes,New Dwelling house /Apartment,
27/08/2019,"23 FAIR ST, MALLOW, CORK",,Cork,"€110,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/11/2013,"3 AIRPARK CLOSE, STOCKING LANE, RATHFARNHAM",,Dublin,"€320,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/05/2019,"66 Hampton Wood Square, Hampton Wood, St. Margaret's Road",Dublin 11,Dublin,"€310,132.00",Yes,Yes,New Dwelling house /Apartment,
03/10/2019,"20 THE MEADOWS, MARLTON ROAD, WICKLOW TOWN",,Wicklow,"€224,669.00",No,Yes,New Dwelling house /Apartment,
19/06/2020,"12 Gandon Crescent, Gandon Park  Lucan",,Dublin,"€378,854.63",No,Yes,New Dwelling house /Apartment,
02/07/2021,"CARROWPETER, TUAM, GALWAY",,Galway,"€190,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/03/2021,"35 GLENMA, CROOM, LIMERICK",,Limerick,"€65,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/05/2018,"APT 3, HEADFORT COURT, 36 37 HILL ST DUBLIN 1",Dublin 1,Dublin,"€195,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/10/2014,"99 SILVERSPRINGS COURT, TIVOLI, CORK",,Cork,"€127,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/06/2018,"11 BUTTERMARKET, SLIGO, SLIGO",,Sligo,"€107,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/02/2019,"8 Oaktree Avenue, Cunnaberry Hill, Tully road",,Meath,"€231,278.00",No,Yes,New Dwelling house /Apartment,
07/05/2015,"32 DUNBANE, CARRICK ON SUIR, CO. TIPPERARY",,Tipperary,"€105,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/05/2015,"189 Burnell Court, Northern Cross, Malahide Road",Dublin 17,Dublin,"€106,230.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
13/03/2020,"5 DUN NA RIOGH GREEN, MONREAD RD, NAAS",,Kildare,"€492,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/12/2014,"2 Leacan Fionn Thoir, Dungarvan",,Waterford,"€79,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/11/2019,"3 LOMBARD STREET EAST, DUBLIN 2",Dublin 2,Dublin,"€1,000,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/11/2021,"24 WHITEHALL RD, CHURCHTOWN, DUBLIN 14",Dublin 14,Dublin,"€620,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/12/2012,"Student Residences, Waterford Institute of Technology, Waterford",,Waterford,"€699,563.90",No,No,Second-Hand Dwelling house /Apartment,
07/07/2014,"SUITE 27, DOONBEG GOLF CLUB, DOONBEG",,Clare,"€225,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/07/2020,"22 THE QUAY, MARKET POINT, MULLINGAR",,Westmeath,"€117,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/04/2020,"CORNAFULLA, ATHLONE, CO ROSCOMMON",,Roscommon,"€120,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/06/2014,"Apartment 280 Bushy Park House, Templeogue Road, Terenure",,Dublin,"€252,077.00",No,No,Second-Hand Dwelling house /Apartment,
07/11/2016,"18 THE LODGE, YEW TREE SQUARE, CLANE",,Kildare,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/01/2015,"1 MERTON CLOSE, KILKEE, CO CLARE",,Clare,"€92,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/10/2017,"11 COLLEGE GREEN, CARLOW, CARLOW",,Carlow,"€159,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/07/2016,"1 HOLYWELL LAWN, FELTRIM RD, SWORDS",,Dublin,"€253,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2012,"17 Seamount Village, Riverchapel, Gorey",,Wexford,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/05/2015,"1 MCDERMOTTS TERRACE, CARRICK RD, DUNDALK",,Louth,"€135,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/06/2012,"60 Conawood Lawn, Bray",,Wicklow,"€222,500.00",No,No,Second-Hand Dwelling house /Apartment,
24/07/2018,"2 THE COPSE, MILLERS GLEN, SWORDS",,Dublin,"€520,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
03/11/2010,"Corgeagh, shercock",,Cavan,"€125,000.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
16/09/2015,"3  Coill Dubh Avenue, Malahide, Co. Dublin",,Dublin,"€450,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
25/04/2019,"45 LLEWELLYN GROVE, RATHFARNHAM DUBLIN 14, DUBLIN",Dublin 16,Dublin,"€428,500.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2013,"APT 8, TANDYS HALL, TANDYS LANE",,Dublin,"€148,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/04/2018,"APT 1, 1 NATIONAL COLLEGE OF IRELAND, MAYOR ST",,Mayo,"€60,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/04/2016,"MUINYGROOGEEN, BANTEER, CO CORK",,Cork,"€270,500.00",No,No,Second-Hand Dwelling house /Apartment,
24/11/2020,"53 Ballycullen Green, Old Court Road, Ballycullen",,Dublin,"€431,718.06",No,Yes,New Dwelling house /Apartment,
26/05/2016,"19 MANDEVILLE PLACE, CLONMEL, CO TIPPERARY",,Tipperary,"€65,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/09/2019,"8 Drumnigh Manor, Portmarnock, Co. Dublin",,Dublin,"€572,687.22",No,Yes,New Dwelling house /Apartment,
20/11/2017,"HILL HOUSE, BANAHO, CARRICKABOY",,Cavan,"€35,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/06/2013,"25 Dunsink Drive, Finglas",Dublin 11,Dublin,"€45,650.00",Yes,No,Second-Hand Dwelling house /Apartment,
19/02/2015,"1 ARD NA RI, FRANCIS ST, NEWBRIDGE",,Kildare,"€120,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/05/2020,"SHANDON HOUSE, CLONDOOGAN, SUMMERHILL",,Meath,"€513,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/07/2011,"5 Rockfield, Coolaney",,Sligo,"€145,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/04/2016,"GANNOUGHS, CLADDAGHDUFF, GALWAY",,Galway,"€165,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/04/2019,"186 UPPER SALTHILL, GALWAY, GALWAY",,Galway,"€275,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/08/2021,"7 RIVER WALK, ROOSKEY, ROSCOMMON",,Roscommon,"€115,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/04/2016,"1 colmkilles mews, ballycullen, dublin 24",Dublin 24,Dublin,"€387,700.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
31/08/2020,"POWERSTOWN, MILFORD, CARLOW",,Carlow,"€100,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
22/12/2021,"6 MAPLE WOOD, CASTLEPARK, MALLOW",,Cork,"€257,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
22/12/2015,"25 Tir an Choir, Vicorschorland, TUAM",,Galway,"€70,485.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
28/10/2011,"14 Blackberry Rise, Portmarnock",,Dublin,"€400,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/01/2014,"11 TOLKA RD, BALLYBOUGH, DUBLIN 3",,Dublin,"€110,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/04/2021,"KILLARNEY RD, CASTLEISLAND, CO KERRY",,Kerry,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/05/2014,"15 ST COLUMBAS RD, WALKINSTOWN, DUBLIN 12",Dublin 12,Dublin,"€247,500.00",No,No,Second-Hand Dwelling house /Apartment,
26/05/2016,"42 CLUAIN DROICHID, SIXMILEBRIDGE, CLARE",,Clare,"€52,500.00",No,No,Second-Hand Dwelling house /Apartment,
03/06/2021,"DRUMCONNICK, CAVAN",,Cavan,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/02/2020,"66 CHURCHVIEW RD, KILLINEY, DUBLIN",,Dublin,"€575,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/12/2013,"15 THE RAMBLINGS, PIERCESTOWN, WEXFORD",,Wexford,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/01/2015,"123 GREGG COURT, PARNELL ST, DUBLIN 1",Dublin 1,Dublin,"€158,950.00",No,No,Second-Hand Dwelling house /Apartment,
