Date of Sale,Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
2016-11-22,"117 KICKHAM RD, INCHICORE, DUBLIN",Dublin 8,Dublin,325000.0,No,No,Second-Hand Dwelling house /Apartment,
2017-06-08,"AUBURN GROVE HOUSE, AUBURN, MALAHIDE",,Dublin,1350000.0,No,No,Second-Hand Dwelling house /Apartment,
2018-10-19,"10 PAIRC NA FANA, UNION HALL, CO CORK",,Cork,310000.0,No,No,Second-Hand Dwelling house /Apartment,
2021-07-30,"154 Ardmore Hills, Mullingar",,Westmeath,248950.0,Yes,Yes,New Dwelling house /Apartment,
2017-09-13,"32 SEAFORT AVE, SANDYMOUNT, DUBLIN 4",Dublin 4,Dublin,900000.0,No,No,Second-Hand Dwelling house /Apartment,
2016-09-08,"23 RATHEVAN CLOSE, PORTLAOISE, LAOIS",,Laois,99000.0,No,No,Second-Hand Dwelling house /Apartment,
2014-12-12,"94 EAST AVE, PARKGATE, FRANKFIELD",,Cork,275000.0,No,No,Second-Hand Dwelling house /Apartment,
2014-03-10,"57 Beech Drive, Greenfields",,Waterford,83700.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
2020-01-24,"14 GLEANN BEAG, NEWCASTLE, CLONMEL",,Tipperary,230000.0,No,No,Second-Hand Dwelling house /Apartment,
2011-07-20,"1 GLEANNTAN, LOUGHLINSTOWN",,Dublin,199000.0,No,No,Second-Hand Dwelling house /Apartment,
2013-04-09,"'St. Cornelius', Deerpark Road, Athlone",,Westmeath,125000.0,No,No,Second-Hand Dwelling house /Apartment,
2013-12-18,"19 forest glade, portumuna",,Galway,99475.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
2021-05-14,"CRIMINAGH, GALWAY",,Galway,165000.0,No,No,Second-Hand Dwelling house /Apartment,
2017-04-21,"36 Hollywoodrath Crescent, Hollystown, Dublin 15",,Dublin,263876.65,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
2017-11-01,"72 A - J.K.L. STREET, EDENDERRY, CO OFFALY",,Offaly,50750.0,No,No,Second-Hand Dwelling house /Apartment,
2017-03-29,"131 AN CAISLEAN, BALLINCOLLIG, CORK",,Cork,210000.0,No,No,Second-Hand Dwelling house /Apartment,
2018-04-06,"56 KILL ABBEY, DEANS GRANGE, DUBLIN",,Dublin,640000.0,No,No,Second-Hand Dwelling house /Apartment,
2019-02-01,"14 NEPHIN VIEW MANOR, BALLINA RD, FOXFORD",,Mayo,147000.0,No,No,Second-Hand Dwelling house /Apartment,
2010-12-06,"11 WARRINGTON MEWS, DONABATE",,Dublin,145374.4,No,Yes,New Dwelling house /Apartment,less than 38 sq metres
2012-04-24,"Valley View, Glasheen, Kinsale",,Cork,170000.0,No,No,Second-Hand Dwelling house /Apartment,
2019-04-26,"6 CHAPEL LANE, KILLALA, CO MAYO",,Mayo,109000.0,No,No,Second-Hand Dwelling house /Apartment,
2015-06-09,"98 ARDILAUN GREEN, MULLINGAR, WESTMEATH",,Westmeath,104000.0,No,No,Second-Hand Dwelling house /Apartment,
2014-05-07,"34 GARDEN VILLAGE, PORTLAOISE, LAOIS",,Laois,122000.0,No,No,Second-Hand Dwelling house /Apartment,
2011-04-11,"65 Woodbrook Crescent, Castleknock, Dublin 15",,Dublin,178000.0,No,No,Second-Hand Dwelling house /Apartment,
2013-12-02,"Ballyduff, Camolin, Enniscorthy",,Wexford,177000.0,No,No,Second-Hand Dwelling house /Apartment,
2018-09-27,"26 THE OAKS, RIDGEWOOD, SWORDS",,Dublin,310000.0,No,No,Second-Hand Dwelling house /Apartment,
2017-08-17,"44 CLONMINCH WOOD, TULLAMORE, OFFALY",,Offaly,178000.0,No,No,Second-Hand Dwelling house /Apartment,
2018-02-09,"36 CHAPELWOOD, KILMUCKRIDGE, WEXFORD",,Wexford,152000.0,Yes,No,Second-Hand Dwelling house /Apartment,
2018-08-14,"APT 10 ROWAN HALL, MILLTOWN ROAD, DUBLIN 6",Dublin 6,Dublin,435000.0,No,No,Second-Hand Dwelling house /Apartment,
2018-06-14,"9 AUBURN GROVE, MALAHIDE, DUBLIN",,Dublin,850000.0,No,No,Second-Hand Dwelling house /Apartment,
2013-08-30,"No. 106, Upper Leeson Street",Dublin 4,Dublin,690000.0,No,No,Second-Hand Dwelling house /Apartment,
2021-05-12,"JAMESTOWN, BALLYBRITTAS, LAOIS",,Laois,285000.0,No,No,Second-Hand Dwelling house /Apartment,
2020-11-06,"92MULLAN MOR, TUAM ROAD, GALWAY",,Galway,260000.0,No,No,Second-Hand Dwelling house /Apartment,
2018-08-23,"BALLYSALLY, CHARLEVILLE, CORK",,Cork,185000.0,No,No,Second-Hand Dwelling house /Apartment,
2011-12-20,"80 The Fairways, Seabrook Manor, Portmarnock",,Dublin,212000.0,No,No,Second-Hand Dwelling house /Apartment,
2017-10-11,"2 Riversdale, Shanaclune, Toem",,Tipperary,242290.74,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
2020-10-16,"23 Clay Farm Avenue, Clay farm, Leopardstown",,Dublin,453744.0,No,Yes,New Dwelling house /Apartment,
2014-12-22,"117 THE FALCON, THE SANCTUARY, JACOBS ISLAND",,Cork,128239.0,No,No,Second-Hand Dwelling house /Apartment,
2016-01-15,"CHAPEL STREET, TALLOW, CO WATERFORD",,Waterford,18000.0,No,No,Second-Hand Dwelling house /Apartment,
2015-07-27,"2 Ard na Gaoithe, Carnamuggagh, Letterkenny",,Donegal,42500.0,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
2016-01-18,"2 THE OAKS MULLINGAR, MULLINGAR, WESTMEATH",,Westmeath,100000.0,No,No,Second-Hand Dwelling house /Apartment,
2017-09-25,"DARTRY, SANDYCOVE AVENUE EAST, DUN LAOGHAIRE",,Dublin,1100000.0,No,No,Second-Hand Dwelling house /Apartment,
2018-02-26,"APT 2 THE PIERRE, VICTORIA TERRACE, DUN LAOGHAIRE",,Dublin,515000.0,No,No,Second-Hand Dwelling house /Apartment,
2018-05-08,"GARRAVAGH, INNISCARRA, CORK",,Cork,234000.0,No,No,Second-Hand Dwelling house /Apartment,
2018-07-27,"46 ROCKSPRINGS, CLARINWOOD, TRAMORE",,Waterford,217000.0,No,No,Second-Hand Dwelling house /Apartment,
2017-01-25,"4 SYCAMORE SPRINGS, NAAS, CO. KILDARE",,Kildare,140000.0,No,No,Second-Hand Dwelling house /Apartment,
2020-01-20,"14 RICHMOND HALL, MOUNT ST.  ANNES, MILLTOWN",Dublin 6,Dublin,390000.0,No,No,Second-Hand Dwelling house /Apartment,
2018-08-30,"CUSHINA, PORTARLINGTON, OFFALY",,Offaly,35000.0,No,No,Second-Hand Dwelling house /Apartment,
2017-02-02,"74 THE ELMS, MOUNT MERRION AVE, BLACKROCK",,Dublin,381000.0,No,No,Second-Hand Dwelling house /Apartment,
2018-07-03,"48 DEERPARK RD, MOUNT MERRION, DUBLIN",Dublin 24,Dublin,685000.0,No,No,Second-Hand Dwelling house /Apartment,
2014-07-01,"34 PERRY COURT, MALLOW ST, LIMERICK CITY",,Limerick,115000.0,No,No,Second-Hand Dwelling house /Apartment,
2019-01-11,"CLONTEEN, KILBRIDE, TRIM",,Meath,535000.0,No,No,Second-Hand Dwelling house /Apartment,
2017-09-01,"13 Broadfield Grove, Broadfield Manor, Rathcoole",,Dublin,319897.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
2012-12-18,"38 Eagle Valley, Powercourt, Enniskerry",,Wicklow,715000.0,No,No,Second-Hand Dwelling house /Apartment,
2016-02-22,"53 RUEBEN ST, SOUTH CIRCULAR RD, DUBLIN 8",Dublin 8,Dublin,285000.0,No,No,Second-Hand Dwelling house /Apartment,
2014-10-02,"13 TULLYHALL WAY, LUCAN, CO DUBLIN",,Dublin,250000.0,No,No,Second-Hand Dwelling house /Apartment,
2021-08-31,"MOUNTAIN RD, BALLYKELLY, NEW ROSS",,Wexford,320000.0,No,No,Second-Hand Dwelling house /Apartment,
2017-10-13,"35 MIZEN COURT, ARKLOW MARINA VILLAGE, NORTH QUAY",,Wicklow,141500.0,No,No,Second-Hand Dwelling house /Apartment,
2016-12-14,"CHERRY COTTAGE, ROCKSHIRE RD, FERRYBANK",,Kilkenny,95000.0,No,No,Second-Hand Dwelling house /Apartment,
2019-03-18,"STREETE VILLAGE, MULLINGAR, COUNTY WESTMEATH",,Westmeath,43000.0,No,No,Second-Hand Dwelling house /Apartment,
2010-08-05,"25 Oakleigh, Navan",,Meath,185000.0,No,No,Second-Hand Dwelling house /Apartment,
2020-12-23,"LARGATREANY, HORN HEAD, DUNFANAGHY",,Donegal,260000.0,No,No,Second-Hand Dwelling house /Apartment,
2020-11-13,"1 DERRYNANE RD LOWER, TURNERS CROSS, CORK CITY",,Cork,305000.0,No,No,Second-Hand Dwelling house /Apartment,
2021-09-16,"4 ELM RD, FOTA ROCK, CARRIGTWOHILL",,Cork,250000.0,No,No,Second-Hand Dwelling house /Apartment,
2018-06-14,"TUBRID BEG, ABBEYDORNEY, KERRY",,Kerry,170000.0,No,No,Second-Hand Dwelling house /Apartment,
2011-02-28,"13  Beech Drive, Greenfields, Old Tramore Road",,Waterford,140969.17,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
2017-12-04,"3 CLARENCE COURT, ST LUKES, CORK",,Cork,277000.0,No,No,Second-Hand Dwelling house /Apartment,
2016-05-23,"46 GREEN VIEW, SEABROOK MANOR, PORTMARNOCK",Dublin 13,Dublin,290000.0,No,No,Second-Hand Dwelling house /Apartment,
2019-01-14,"50 GREENPARK MEADOWS, MULLINGAR, CO. WESTMEATH",,Westmeath,230000.0,No,No,Second-Hand Dwelling house /Apartment,
2020-03-06,"6 7 8 9 ST ANNES TERRACE, SHORTCOURSE, WATERFORD",,Waterford,40000.0,No,No,Second-Hand Dwelling house /Apartment,
2018-05-02,"BALLYGRENNAN, BRUFF, LIMERICK",,Limerick,301000.0,No,No,Second-Hand Dwelling house /Apartment,
2010-04-22,"2 An Maimin, Ballyferriter, Dingle",,Kerry,315000.0,No,No,Second-Hand Dwelling house /Apartment,
2017-04-07,"41 CAMDEN LOCK, RINGSEND, DUBLIN 4",Dublin 4,Dublin,307000.0,No,No,Second-Hand Dwelling house /Apartment,
2013-10-21,"ARDMORE ROAD, MULLINGAR",,Westmeath,208000.0,No,No,Second-Hand Dwelling house /Apartment,
2019-05-30,"14 MELLOWS TERRACE, NAVAN, MEATH",,Meath,197000.0,No,No,Second-Hand Dwelling house /Apartment,
2010-01-15,"168 Castle Park, Tallaght",,Dublin,100000.0,No,No,Second-Hand Dwelling house /Apartment,
2018-10-12,"5 The Green, Castle Farm, Naas",,Kildare,290748.9,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
2014-03-04,"35 MARLFIELD CLOSE, KILTIPPER WAY, TALLAGHT DUBLIN 24",,Dublin,80000.0,No,No,Second-Hand Dwelling house /Apartment,
2020-12-18,"41 THE GALLERY, TURVEY WALK, DONABATE",,Dublin,252000.0,No,No,Second-Hand Dwelling house /Apartment,
2014-10-07,"APT 12, SHEERWATER HOUSE, DOMINICK ST",,Galway,160000.0,No,No,Second-Hand Dwelling house /Apartment,
2015-10-20,"98 Loughantarve, Knockbridge, Dundalk",,Louth,140969.15,Yes,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
2019-06-20,"17 LINDENVALE, PROBY SQ, BLACKROCK",,Dublin,950000.0,No,No,Second-Hand Dwelling house /Apartment,
2010-12-08,"29 Monastery Drive, Clondalkin, Dublin 22",,Dublin,265000.0,No,No,Second-Hand Dwelling house /Apartment,
2013-07-22,"50 Ardan Na Mara, Seafield, Youghal",,Cork,100000.0,No,No,Second-Hand Dwelling house /Apartment,
2019-01-16,"13 DISCOVERY, ROYAL CANAL PARK, RATOATH RD DUBLIN 15",Dublin 7,Dublin,295000.0,No,No,Second-Hand Dwelling house /Apartment,
2012-01-11,"2 Gort na Ri, Athenry",,Galway,186000.0,No,No,Second-Hand Dwelling house /Apartment,
2014-12-09,"2C AN DUN, RAHEEN, CO LIMERICK",,Limerick,68000.0,No,No,Second-Hand Dwelling house /Apartment,
2020-07-24,"KILBARRY, TEMPLEMARTIN, BANDON",,Cork,385000.0,No,No,Second-Hand Dwelling house /Apartment,
2019-08-23,"36 THE WATERMILL, RAHENY, DUBLIN 5",Dublin 5,Dublin,430000.0,No,No,Second-Hand Dwelling house /Apartment,
2017-04-13,"THE COTTAGE, DAMASTOWN, NAUL",,Dublin,449000.0,No,No,Second-Hand Dwelling house /Apartment,
2019-07-08,"32 THE FAIRWAYS, ABBEYLEIX, LAOIS",,Laois,145000.0,No,No,Second-Hand Dwelling house /Apartment,
2021-05-13,"SPOLLENSTOWN, TULLAMORE, CO OFFALLY",,Offaly,139000.0,Yes,No,Second-Hand Dwelling house /Apartment,
2018-09-06,"80 Parklands, Youghal",,Cork,171806.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
2014-12-18,"39 LISSADYRA, BALLYGADDY RD, TUAM",,Galway,111000.0,No,No,Second-Hand Dwelling house /Apartment,
2018-07-18,"KNOCKTOBY, TUBBER, GALWAY",,Galway,75000.0,Yes,No,Second-Hand Dwelling house /Apartment,
2016-08-03,"46 WOODTHORPE, BALLYHASKEY, NEWTOWNCUNNINGHAM",,Donegal,135000.0,No,No,Second-Hand Dwelling house /Apartment,
2016-02-26,"140 STEEPLECHASE GREEN RATHOATH, MEATH",,Meath,206000.0,No,No,Second-Hand Dwelling house /Apartment,
2019-04-23,"7 OUTRATH COURT, KILKENNY, KILKENNY",,Kilkenny,340000.0,No,No,Second-Hand Dwelling house /Apartment,
2012-10-03,"Main Street, Glaslough, Monaghan",,Monaghan,70000.0,No,No,Second-Hand Dwelling house /Apartment,
2012-08-22,"34 Castle Street, Dalkey",,Dublin,235000.0,No,No,Second-Hand Dwelling house /Apartment,
2013-10-15,"226 Pace Road, Littlepace, Clonee",Dublin 15,Dublin,203000.0,No,No,Second-Hand Dwelling house /Apartment,
2021-12-06,"CAHERHAYES, ABBEYFEALE, CO LIMERICK",,Limerick,169000.0,No,No,Second-Hand Dwelling house /Apartment,
2010-04-30,"Stephenstown South, Two Mile House, Naas",,Kildare,500000.0,No,No,Second-Hand Dwelling house /Apartment,
2012-02-02,"79 Walkinstown Drive, Walkinstown, Dublin 12",,Dublin,111000.0,No,No,Second-Hand Dwelling house /Apartment,
2019-12-18,"1  5  6 & 22 THE HAMPTON, APT 1 2 7 19 20 26 27 30 31 34-38, 41 42 47-49 BLOCK 1  THE MAIESTON",Dublin 11,Dublin,3919000.0,No,No,Second-Hand Dwelling house /Apartment,
2010-12-08,"Dunany, Togher",,Louth,125000.0,No,No,Second-Hand Dwelling house /Apartment,
2018-04-11,"105 Barley Field, Wicklow Hills, Newtownmountkennedy",,Wicklow,202642.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
2021-06-21,"8 LUDFORD RD, BALLINTEER, DUBLIN 16",Dublin 16,Dublin,695000.0,No,No,Second-Hand Dwelling house /Apartment,
2017-09-08,"2344 ST JOSEPHS PARK, PROSPEROUS, KILDARE",,Kildare,170000.0,No,No,Second-Hand Dwelling house /Apartment,
2017-02-10,"61 ASHBROOK, CASTLELAKE, CARRIGTWOHILL",,Cork,195000.0,No,No,Second-Hand Dwelling house /Apartment,
2019-12-06,"8 Deel View, The Glebe, Ballina Road",,Mayo,215858.0,No,Yes,New Dwelling house /Apartment,
2019-08-27,"23 FAIR ST, MALLOW, CORK",,Cork,110000.0,No,No,Second-Hand Dwelling house /Apartment,
2013-11-11,"3 AIRPARK CLOSE, STOCKING LANE, RATHFARNHAM",,Dublin,320000.0,No,No,Second-Hand Dwelling house /Apartment,
2019-05-13,"66 Hampton Wood Square, Hampton Wood, St. Margaret's Road",Dublin 11,Dublin,310132.0,Yes,Yes,New Dwelling house /Apartment,
2019-10-03,"20 THE MEADOWS, MARLTON ROAD, WICKLOW TOWN",,Wicklow,224669.0,No,Yes,New Dwelling house /Apartment,
2020-06-19,"12 Gandon Crescent, Gandon Park  Lucan",,Dublin,378854.63,No,Yes,New Dwelling house /Apartment,
2021-07-02,"CARROWPETER, TUAM, GALWAY",,Galway,190000.0,No,No,Second-Hand Dwelling house /Apartment,
2021-03-24,"35 GLENMA, CROOM, LIMERICK",,Limerick,65000.0,No,No,Second-Hand Dwelling house /Apartment,
2018-05-17,"APT 3, HEADFORT COURT, 36 37 HILL ST DUBLIN 1",Dublin 1,Dublin,195000.0,No,No,Second-Hand Dwelling house /Apartment,
2014-10-20,"99 SILVERSPRINGS COURT, TIVOLI, CORK",,Cork,127000.0,No,No,Second-Hand Dwelling house /Apartment,
2018-06-11,"11 BUTTERMARKET, SLIGO, SLIGO",,Sligo,107000.0,No,No,Second-Hand Dwelling house /Apartment,
2019-02-12,"8 Oaktree Avenue, Cunnaberry Hill, Tully road",,Meath,231278.0,No,Yes,New Dwelling house /Apartment,
2015-05-07,"32 DUNBANE, CARRICK ON SUIR, CO. TIPPERARY",,Tipperary,105000.0,No,No,Second-Hand Dwelling house /Apartment,
2015-05-01,"189 Burnell Court, Northern Cross, Malahide Road",Dublin 17,Dublin,106230.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
2020-03-13,"5 DUN NA RIOGH GREEN, MONREAD RD, NAAS",,Kildare,492000.0,No,No,Second-Hand Dwelling house /Apartment,
2014-12-12,"2 Leacan Fionn Thoir, Dungarvan",,Waterford,79000.0,No,No,Second-Hand Dwelling house /Apartment,
2019-11-15,"3 LOMBARD STREET EAST, DUBLIN 2",Dublin 2,Dublin,1000000.0,No,No,Second-Hand Dwelling house /Apartment,
2021-11-03,"24 WHITEHALL RD, CHURCHTOWN, DUBLIN 14",Dublin 14,Dublin,620000.0,No,No,Second-Hand Dwelling house /Apartment,
2012-12-28,"Student Residences, Waterford Institute of Technology, Waterford",,Waterford,699563.9,No,No,Second-Hand Dwelling house /Apartment,
2014-07-07,"SUITE 27, DOONBEG GOLF CLUB, DOONBEG",,Clare,225000.0,No,No,Second-Hand Dwelling house /Apartment,
2020-07-22,"22 THE QUAY, MARKET POINT, MULLINGAR",,Westmeath,117000.0,No,No,Second-Hand Dwelling house /Apartment,
2020-04-24,"CORNAFULLA, ATHLONE, CO ROSCOMMON",,Roscommon,120000.0,No,No,Second-Hand Dwelling house /Apartment,
2014-06-25,"Apartment 280 Bushy Park House, Templeogue Road, Terenure",,Dublin,252077.0,No,No,Second-Hand Dwelling house /Apartment,
2016-11-07,"18 THE LODGE, YEW TREE SQUARE, CLANE",,Kildare,160000.0,No,No,Second-Hand Dwelling house /Apartment,
2015-01-26,"1 MERTON CLOSE, KILKEE, CO CLARE",,Clare,92000.0,No,No,Second-Hand Dwelling house /Apartment,
2017-10-31,"11 COLLEGE GREEN, CARLOW, CARLOW",,Carlow,159000.0,No,No,Second-Hand Dwelling house /Apartment,
2016-07-01,"1 HOLYWELL LAWN, FELTRIM RD, SWORDS",,Dublin,253000.0,No,No,Second-Hand Dwelling house /Apartment,
2012-12-20,"17 Seamount Village, Riverchapel, Gorey",,Wexford,80000.0,No,No,Second-Hand Dwelling house /Apartment,
2015-05-07,"1 MCDERMOTTS TERRACE, CARRICK RD, DUNDALK",,Louth,135000.0,No,No,Second-Hand Dwelling house /Apartment,
2012-06-01,"60 Conawood Lawn, Bray",,Wicklow,222500.0,No,No,Second-Hand Dwelling house /Apartment,
2018-07-24,"2 THE COPSE, MILLERS GLEN, SWORDS",,Dublin,520000.0,Yes,No,Second-Hand Dwelling house /Apartment,
2010-11-03,"Corgeagh, shercock",,Cavan,125000.0,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
2015-09-16,"3  Coill Dubh Avenue, Malahide, Co. Dublin",,Dublin,450000.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
2019-04-25,"45 LLEWELLYN GROVE, RATHFARNHAM DUBLIN 14, DUBLIN",Dublin 16,Dublin,428500.0,No,No,Second-Hand Dwelling house /Apartment,
2013-12-20,"APT 8, TANDYS HALL, TANDYS LANE",,Dublin,148000.0,No,No,Second-Hand Dwelling house /Apartment,
2018-04-13,"APT 1, 1 NATIONAL COLLEGE OF IRELAND, MAYOR ST",,Mayo,60000.0,No,No,Second-Hand Dwelling house /Apartment,
2016-04-26,"MUINYGROOGEEN, BANTEER, CO CORK",,Cork,270500.0,No,No,Second-Hand Dwelling house /Apartment,
2020-11-24,"53 Ballycullen Green, Old Court Road, Ballycullen",,Dublin,431718.06,No,Yes,New Dwelling house /Apartment,
2016-05-26,"19 MANDEVILLE PLACE, CLONMEL, CO TIPPERARY",,Tipperary,65000.0,No,No,Second-Hand Dwelling house /Apartment,
2019-09-20,"8 Drumnigh Manor, Portmarnock, Co. Dublin",,Dublin,572687.22,No,Yes,New Dwelling house /Apartment,
2017-11-20,"HILL HOUSE, BANAHO, CARRICKABOY",,Cavan,35000.0,No,No,Second-Hand Dwelling house /Apartment,
2013-06-05,"25 Dunsink Drive, Finglas",Dublin 11,Dublin,45650.0,Yes,No,Second-Hand Dwelling house /Apartment,
2015-02-19,"1 ARD NA RI, FRANCIS ST, NEWBRIDGE",,Kildare,120000.0,No,No,Second-Hand Dwelling house /Apartment,
2020-05-18,"SHANDON HOUSE, CLONDOOGAN, SUMMERHILL",,Meath,513000.0,No,No,Second-Hand Dwelling house /Apartment,
2011-07-11,"5 Rockfield, Coolaney",,Sligo,145000.0,No,No,Second-Hand Dwelling house /Apartment,
2016-04-15,"GANNOUGHS, CLADDAGHDUFF, GALWAY",,Galway,165000.0,No,No,Second-Hand Dwelling house /Apartment,
2019-04-29,"186 UPPER SALTHILL, GALWAY, GALWAY",,Galway,275000.0,No,No,Second-Hand Dwelling house /Apartment,
2021-08-27,"7 RIVER WALK, ROOSKEY, ROSCOMMON",,Roscommon,115000.0,No,No,Second-Hand Dwelling house /Apartment,
2016-04-08,"1 colmkilles mews, ballycullen, dublin 24",Dublin 24,Dublin,387700.0,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
2020-08-31,"POWERSTOWN, MILFORD, CARLOW",,Carlow,100000.0,Yes,No,Second-Hand Dwelling house /Apartment,
2021-12-22,"6 MAPLE WOOD, CASTLEPARK, MALLOW",,Cork,257000.0,Yes,No,Second-Hand Dwelling house /Apartment,
2015-12-22,"25 Tir an Choir, Vicorschorland, TUAM",,Galway,70485.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
2011-10-28,"14 Blackberry Rise, Portmarnock",,Dublin,400000.0,No,No,Second-Hand Dwelling house /Apartment,
2014-01-27,"11 TOLKA RD, BALLYBOUGH, DUBLIN 3",,Dublin,110000.0,No,No,Second-Hand Dwelling house /Apartment,
2021-04-26,"KILLARNEY RD, CASTLEISLAND, CO KERRY",,Kerry,180000.0,No,No,Second-Hand Dwelling house /Apartment,
2014-05-06,"15 ST COLUMBAS RD, WALKINSTOWN, DUBLIN 12",Dublin 12,Dublin,247500.0,No,No,Second-Hand Dwelling house /Apartment,
2016-05-26,"42 CLUAIN DROICHID, SIXMILEBRIDGE, CLARE",,Clare,52500.0,No,No,Second-Hand Dwelling house /Apartment,
2021-06-03,"DRUMCONNICK, CAVAN",,Cavan,180000.0,No,No,Second-Hand Dwelling house /Apartment,
2020-02-26,"66 CHURCHVIEW RD, KILLINEY, DUBLIN",,Dublin,575000.0,No,No,Second-Hand Dwelling house /Apartment,
2013-12-13,"15 THE RAMBLINGS, PIERCESTOWN, WEXFORD",,Wexford,180000.0,No,No,Second-Hand Dwelling house /Apartment,
2015-01-23,"123 GREGG COURT, PARNELL ST, DUBLIN 1",Dublin 1,Dublin,158950.0,No,No,Second-Hand Dwelling house /Apartment,
2012-12-20,"3A Bankside Cottages, Milltown",,Dublin,300000.0,No,No,Second-Hand Dwelling house /Apartment,
2016-12-15,"APT 45 DOWNSHIRE PLACE, EDENDERRY, CO OFFALY",,Offaly,68000.0,No,No,Second-Hand Dwelling house /Apartment,
2017-06-20,"41 CAIRN HILL, WESTMINSTER RD, FOXROCK DUBLIN 18",Dublin 18,Dublin,845000.0,No,No,Second-Hand Dwelling house /Apartment,
2010-10-15,"Arva Cottage, Clonsilla, Dublin 15",,Dublin,115000.0,No,No,Second-Hand Dwelling house /Apartment,
2020-08-26,"6 MARGARET STREET, CORK, CORK",,Cork,161000.0,No,No,Second-Hand Dwelling house /Apartment,
2014-12-18,"29 Rockview (Site No. 50), Mountrath Road, Portlaoise",,Laois,60000.0,Yes,No,Second-Hand Dwelling house /Apartment,
2020-01-17,"34A ARDLORCAN, STILLORGAN, DUBLIN",,Dublin,750000.0,No,No,Second-Hand Dwelling house /Apartment,
2011-06-24,"39 Seagrave Square, Ashbourne, County Meath",,Meath,166079.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
